file_id,label,mean_centroid,mean_bandwidth,mean_rolloff,mean_zcr,mean_rms,mean_pitch_f0
vs_0020,REAL,620.2476670280414,655.1386692345626,568.5483870967741,0.04864724352955818,0.02915921062231064,267.0093688964844
vs_0021,REAL,1648.4953716621987,1854.3362671611526,1306.3256048387098,0.12379781156778336,0.08098998665809631,268.38702392578125
vs_0022,REAL,619.6090229149133,654.407400888435,561.6179435483871,0.04964052513241768,0.029144011437892914,267.0093688964844
vs_0023,REAL,1644.2700930428236,1852.4588604508162,1292.5907258064517,0.12416832149028778,0.08098798990249634,265.8843994140625
vs_0024,REAL,620.3505730847825,654.6980247217084,558.8457661290323,0.05046037584543228,0.029145102947950363,267.14605712890625
vs_0025,REAL,1645.7804709253585,1852.4429659758582,1288.054435483871,0.12441270053386688,0.08097733557224274,268.7217712402344
vs_0026,REAL,620.6252852999945,656.5976918620855,558.2157258064516,0.04954592511057854,0.02917419746518135,267.14605712890625
vs_0027,REAL,1613.1308108028368,1909.0847459688587,1223.664314516129,0.12257591634988785,0.08148552477359772,235.78221130371094
vs_0028,REAL,609.5439565150579,659.7415136449279,553.1754032258065,0.050192348659038544,0.029543796554207802,278.3292236328125
vs_0029,REAL,1616.895624234042,1909.8205309647662,1231.8548387096773,0.12423927336931229,0.08147017657756805,238.28106689453125
vs_0030,REAL,610.3178499210327,659.3686017361156,548.0090725806451,0.05012140050530434,0.029559260234236717,278.3292236328125
vs_0031,REAL,1609.2636287639295,1906.0919414745101,1217.867943548387,0.1213461384177208,0.08146844059228897,239.8934783935547
vs_0032,REAL,609.061851805679,660.7978572697398,548.1350806451613,0.04949074238538742,0.029551155865192413,276.447509765625
vs_0033,REAL,1613.0840838781749,1911.9535731412714,1220.640120967742,0.12221328914165497,0.08145394176244736,235.67279052734375
vs_0034,REAL,607.3409337293374,661.9295135045942,546.4969758064516,0.04907293617725372,0.02955501712858677,278.07513427734375
vs_0054,FAKE,2240.6087428896785,2465.7653932114854,325.4788306451613,0.10180368274450302,0.09176040440797806,135.36349487304688
vs_0053,FAKE,2271.745592389226,2447.6308996261696,397.68145161290323,0.1071011945605278,0.09179626405239105,165.0457763671875
vs_0005,REAL,2251.362969727485,2457.124387518502,355.0907258064516,0.10639958828687668,0.09177996963262558,145.4130859375
vs_0050,FAKE,2298.7353761040395,2436.9553255112583,453.37701612903226,0.10624980926513672,0.09180532395839691,188.1298065185547
vs_0006,REAL,1629.7660659091325,1896.904302957548,1260.0806451612902,0.12766847014427185,0.08262035250663757,247.17250061035156
vs_0048,FAKE,1654.296669014196,1873.4263577640972,1266.1290322580646,0.1245388388633728,0.0825294777750969,259.18841552734375
vs_0001,REAL,1626.6047107446948,1891.1856235522298,1247.2278225806451,0.12643080949783325,0.0823851153254509,241.04092407226562
vs_0047,FAKE,1626.6047107446948,1891.1856235522298,1247.2278225806451,0.12643080949783325,0.0823851153254509,241.04092407226562
vs_0051,FAKE,2251.362969727485,2457.124387518502,355.0907258064516,0.10639958828687668,0.09177996963262558,145.4130859375
vs_0049,FAKE,2254.5690852562375,2460.3554661924945,357.98891129032256,0.1053038164973259,0.09179700165987015,148.19345092773438
vs_0002,REAL,1654.296669014196,1873.4263577640972,1266.1290322580646,0.1245388388633728,0.0825294777750969,259.18841552734375
vs_0041,REAL,1615.3905762481666,1904.3130655236992,1207.913306451613,0.11857125163078308,0.08099188655614853,237.16099548339844
vs_0042,REAL,612.6778279451172,662.9638774602633,559.4758064516129,0.04965629056096077,0.029379168525338173,258.4181213378906
vs_0043,REAL,1613.983294063947,1911.8184153262848,1191.1542338709678,0.11900482326745987,0.08098000288009644,237.81443786621094
vs_0044,REAL,614.4280928790594,661.6065241071391,554.9395161290323,0.050405196845531464,0.02935807593166828,258.65679931640625
